
===== PER-OBJECT: world matrix decomposed =====
hMQYrwNoNcNjoRj type=MESH parent=ZtCfdmHJJEMcBCX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
HPnmzcIImWvVtsh type=EMPTY parent=xRLfDaARzGhpJRl loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
HSsYFMrRMLtGMxa type=EMPTY parent=ecOFHvzjpmGQnNS loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
iaRYLxAqmkmJLoG type=EMPTY parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
ieHYvKnnzuKBgyJ type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
iKZSoAlRlDlkSEw type=MESH parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
INryeDDYSSKehNA type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
itODWJLNRbBbHzD type=MESH parent=ZtCfdmHJJEMcBCX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
iUykZAiNlEUXJDD type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
jJermpgmctotTSe type=MESH parent=GkIhOUZSWGnyiHp loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
JMNlJLaRJqsIYOv type=EMPTY parent=AKVZtTmuRolfwyf loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
JnJdTkxbQgUtLwU type=MESH parent=JMNlJLaRJqsIYOv loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
jnMRBCmgCrfRBeG type=MESH parent=MHKZGNlFPrDkKom loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
